Race,Sex,degree,percent
TWO OR MORE RACES,All,Less than high school diploma,21.62162162162162
WHITE ALONE,All,Less than high school diploma,12.495991448423304
"WHITE ALONE, NOT HISPANIC OR LATINO",All,Less than high school diploma,12.809555117247426
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Female,Less than high school diploma,NA
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Male,Less than high school diploma,NA
ASIAN ALONE,Female,Less than high school diploma,0
ASIAN ALONE,Male,Less than high school diploma,NA
BLACK OR AFRICAN AMERICAN ALONE,Female,Less than high school diploma,31.103286384976524
BLACK OR AFRICAN AMERICAN ALONE,Male,Less than high school diploma,14.367816091954023
HISPANIC OR LATINO,Female,Less than high school diploma,14.960629921259844
HISPANIC OR LATINO,Male,Less than high school diploma,17.318435754189945
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Female,Less than high school diploma,NA
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Male,Less than high school diploma,NA
SOME OTHER RACE ALONE,Female,Less than high school diploma,NA
SOME OTHER RACE ALONE,Male,Less than high school diploma,38.2716049382716
TWO OR MORE RACES,Female,Less than high school diploma,48.484848484848484
TWO OR MORE RACES,Male,Less than high school diploma,0
WHITE ALONE,Female,Less than high school diploma,11.415152133959568
WHITE ALONE,Male,Less than high school diploma,13.683266038582323
"WHITE ALONE, NOT HISPANIC OR LATINO",Female,Less than high school diploma,11.672583002714553
"WHITE ALONE, NOT HISPANIC OR LATINO",Male,Less than high school diploma,14.065021904542311
All,Female,Less than high school diploma,13.214052744385427
All,Male,Less than high school diploma,14.113562091503267
All,All,Less than high school diploma,13.643229547337135
AMERICAN INDIAN AND ALASKA NATIVE ALONE,All,Some college or associate's degree,NA
ASIAN ALONE,All,Some college or associate's degree,57.57575757575758
BLACK OR AFRICAN AMERICAN ALONE,All,Some college or associate's degree,22.22222222222222
HISPANIC OR LATINO,All,Some college or associate's degree,36.9281045751634
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",All,Some college or associate's degree,NA
SOME OTHER RACE ALONE,All,Some college or associate's degree,0
TWO OR MORE RACES,All,Some college or associate's degree,55.4054054054054
WHITE ALONE,All,Some college or associate's degree,19.6044895777659
"WHITE ALONE, NOT HISPANIC OR LATINO",All,Some college or associate's degree,18.85820731974578
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Female,Some college or associate's degree,NA
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Male,Some college or associate's degree,NA
ASIAN ALONE,Female,Some college or associate's degree,57.57575757575758
ASIAN ALONE,Male,Some college or associate's degree,NA
BLACK OR AFRICAN AMERICAN ALONE,Female,Some college or associate's degree,12.323943661971832
BLACK OR AFRICAN AMERICAN ALONE,Male,Some college or associate's degree,34.339080459770116
HISPANIC OR LATINO,Female,Some college or associate's degree,52.75590551181102
HISPANIC OR LATINO,Male,Some college or associate's degree,25.69832402234637
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Female,Some college or associate's degree,NA
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Male,Some college or associate's degree,NA
SOME OTHER RACE ALONE,Female,Some college or associate's degree,NA
SOME OTHER RACE ALONE,Male,Some college or associate's degree,0
TWO OR MORE RACES,Female,Some college or associate's degree,0
TWO OR MORE RACES,Male,Some college or associate's degree,100
WHITE ALONE,Female,Some college or associate's degree,21.952215642229937
WHITE ALONE,Male,Some college or associate's degree,17.02557200538358
"WHITE ALONE, NOT HISPANIC OR LATINO",Female,Some college or associate's degree,21.04823553977866
"WHITE ALONE, NOT HISPANIC OR LATINO",Male,Some college or associate's degree,16.439935439243715
All,Female,Some college or associate's degree,21.190942130276767
All,Male,Some college or associate's degree,18.361928104575163
All,All,Some college or associate's degree,19.841153827413148
