Race,Sex,degree,percent
SOME OTHER RACE ALONE,All,Less than high school diploma,44.390243902439025
TWO OR MORE RACES,All,Less than high school diploma,11.74934725848564
WHITE ALONE,All,Less than high school diploma,12.482362900950053
"WHITE ALONE, NOT HISPANIC OR LATINO",All,Less than high school diploma,12.516129032258064
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Female,Less than high school diploma,0
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Male,Less than high school diploma,68.96551724137932
ASIAN ALONE,Female,Less than high school diploma,26.36363636363636
ASIAN ALONE,Male,Less than high school diploma,0
BLACK OR AFRICAN AMERICAN ALONE,Female,Less than high school diploma,19.21159945627549
BLACK OR AFRICAN AMERICAN ALONE,Male,Less than high school diploma,30.554117037804247
HISPANIC OR LATINO,Female,Less than high school diploma,18.91891891891892
HISPANIC OR LATINO,Male,Less than high school diploma,23.863636363636363
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Female,Less than high school diploma,NA
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Male,Less than high school diploma,NA
SOME OTHER RACE ALONE,Female,Less than high school diploma,59.78260869565217
SOME OTHER RACE ALONE,Male,Less than high school diploma,31.858407079646017
TWO OR MORE RACES,Female,Less than high school diploma,1.8018018018018018
TWO OR MORE RACES,Male,Less than high school diploma,25.465838509316768
WHITE ALONE,Female,Less than high school diploma,10.898082744702322
WHITE ALONE,Male,Less than high school diploma,14.149213396390309
"WHITE ALONE, NOT HISPANIC OR LATINO",Female,Less than high school diploma,11.012599160055997
"WHITE ALONE, NOT HISPANIC OR LATINO",Male,Less than high school diploma,14.094025465230168
All,Female,Less than high school diploma,11.95806753077892
All,Male,Less than high school diploma,15.887769659763954
All,All,Less than high school diploma,13.862008294583386
AMERICAN INDIAN AND ALASKA NATIVE ALONE,All,Some college or associate's degree,41.57303370786517
ASIAN ALONE,All,Some college or associate's degree,24.475524475524477
BLACK OR AFRICAN AMERICAN ALONE,All,Some college or associate's degree,25.13291445142581
HISPANIC OR LATINO,All,Some college or associate's degree,23.618090452261306
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",All,Some college or associate's degree,NA
SOME OTHER RACE ALONE,All,Some college or associate's degree,21.463414634146343
TWO OR MORE RACES,All,Some college or associate's degree,46.73629242819843
WHITE ALONE,All,Some college or associate's degree,28.826074687235444
"WHITE ALONE, NOT HISPANIC OR LATINO",All,Some college or associate's degree,28.96057347670251
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Female,Some college or associate's degree,61.29032258064516
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Male,Some college or associate's degree,31.03448275862069
ASIAN ALONE,Female,Some college or associate's degree,20.909090909090907
ASIAN ALONE,Male,Some college or associate's degree,36.36363636363637
BLACK OR AFRICAN AMERICAN ALONE,Female,Some college or associate's degree,31.853194381513365
BLACK OR AFRICAN AMERICAN ALONE,Male,Some college or associate's degree,17.452097358881407
HISPANIC OR LATINO,Female,Some college or associate's degree,28.22822822822823
HISPANIC OR LATINO,Male,Some college or associate's degree,17.803030303030305
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Female,Some college or associate's degree,NA
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Male,Some college or associate's degree,NA
SOME OTHER RACE ALONE,Female,Some college or associate's degree,25
SOME OTHER RACE ALONE,Male,Some college or associate's degree,18.58407079646018
TWO OR MORE RACES,Female,Some college or associate's degree,72.07207207207207
TWO OR MORE RACES,Male,Some college or associate's degree,11.801242236024844
WHITE ALONE,Female,Some college or associate's degree,31.052197046142556
WHITE ALONE,Male,Some college or associate's degree,26.48393012257504
"WHITE ALONE, NOT HISPANIC OR LATINO",Female,Some college or associate's degree,31.1899206719552
"WHITE ALONE, NOT HISPANIC OR LATINO",Male,Some college or associate's degree,26.62095984329089
All,Female,Some college or associate's degree,31.485920929665596
All,Male,Some college or associate's degree,25.576066750248582
All,All,Some college or associate's degree,28.622596455950735
