Race,Sex,degree,percent
TWO OR MORE RACES,Male,Less than high school diploma,0
WHITE ALONE,Female,Less than high school diploma,12.204914083828488
WHITE ALONE,Male,Less than high school diploma,16.636787378988885
"WHITE ALONE, NOT HISPANIC OR LATINO",Female,Less than high school diploma,12.62248795881083
"WHITE ALONE, NOT HISPANIC OR LATINO",Male,Less than high school diploma,16.60356949702542
All,Female,Less than high school diploma,12.138901362071545
All,Male,Less than high school diploma,16.090176609424596
All,All,Less than high school diploma,14.03173613006355
AMERICAN INDIAN AND ALASKA NATIVE ALONE,All,Some college or associate's degree,70
ASIAN ALONE,All,Some college or associate's degree,3.361344537815126
BLACK OR AFRICAN AMERICAN ALONE,All,Some college or associate's degree,43.60135900339751
HISPANIC OR LATINO,All,Some college or associate's degree,4.708097928436912
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",All,Some college or associate's degree,NA
SOME OTHER RACE ALONE,All,Some college or associate's degree,14.563106796116504
TWO OR MORE RACES,All,Some college or associate's degree,30.909090909090907
WHITE ALONE,All,Some college or associate's degree,27.97966963151207
"WHITE ALONE, NOT HISPANIC OR LATINO",All,Some college or associate's degree,28.336791147994468
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Female,Some college or associate's degree,0
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Male,Some college or associate's degree,100
ASIAN ALONE,Female,Some college or associate's degree,0
ASIAN ALONE,Male,Some college or associate's degree,9.75609756097561
BLACK OR AFRICAN AMERICAN ALONE,Female,Some college or associate's degree,31.902985074626866
BLACK OR AFRICAN AMERICAN ALONE,Male,Some college or associate's degree,61.67146974063401
HISPANIC OR LATINO,Female,Some college or associate's degree,9.72762645914397
HISPANIC OR LATINO,Male,Some college or associate's degree,0
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Female,Some college or associate's degree,NA
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Male,Some college or associate's degree,NA
SOME OTHER RACE ALONE,Female,Some college or associate's degree,68.18181818181817
SOME OTHER RACE ALONE,Male,Some college or associate's degree,0
TWO OR MORE RACES,Female,Some college or associate's degree,79.3103448275862
TWO OR MORE RACES,Male,Some college or associate's degree,8.51063829787234
WHITE ALONE,Female,Some college or associate's degree,27.25228842139072
WHITE ALONE,Male,Some college or associate's degree,28.791681606310505
"WHITE ALONE, NOT HISPANIC OR LATINO",Female,Some college or associate's degree,27.769473509383825
"WHITE ALONE, NOT HISPANIC OR LATINO",Male,Some college or associate's degree,28.952586983955293
All,Female,Some college or associate's degree,27.533303397694958
All,Male,Some college or associate's degree,28.30634003418247
All,All,Some college or associate's degree,27.903621973566224
